url,title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
,"Mystic River",Movie,"Crime, Drama, Mystery",2003,tt0327056,7.9,493936,JP
https://www.hulu.com/movie/225d12ff-a04b-4bb6-b88b-6abb9d66dcb9,"Jurassic Park",Movie,"Action, Adventure, Sci-Fi",1993,tt0107290,8.2,1090254,JP
,"Jurassic Park III",Movie,"Action, Adventure, Sci-Fi",2001,tt0163025,5.9,346057,JP
,"Eyes Wide Shut",Movie,"Drama, Mystery, Thriller",1999,tt0120663,7.5,384688,JP
,Alien,Movie,"Horror, Sci-Fi",1979,tt0078748,8.5,986097,US
https://www.hulu.com/movie/35ee3632-230a-4e4b-8520-46063f9282a3,"The Devil Wears Prada",Movie,"Comedy, Drama",2006,tt0458352,6.9,483729,JP
,"Batman Returns",Movie,"Action, Crime, Fantasy",1992,tt0103776,7.1,333768,JP
,"Raising Arizona",Movie,"Comedy, Crime",1987,tt0093822,7.3,153161,US
,"Alien vs. Predator",Movie,"Action, Adventure, Horror",2004,tt0370263,5.7,218995,US
,"La Strada",Movie,Drama,1954,tt0047528,8,67369,JP
,"Batman Forever",Movie,"Action, Adventure",1995,tt0112462,5.4,270293,JP
,"Batman & Robin",Movie,"Action, Sci-Fi",1997,tt0118688,3.8,271790,JP
,8½,Movie,Drama,1963,tt0056801,8,127012,JP
,Cube,Movie,"Horror, Mystery, Sci-Fi",1997,tt0123755,7.1,251550,JP
,"The Day After Tomorrow",Movie,"Action, Adventure, Sci-Fi",2004,tt0319262,6.5,487070,US
,"Cube²: Hypercube",Movie,"Horror, Mystery, Sci-Fi",2002,tt0285492,5.5,71162,JP
,"Cube Zero",Movie,"Drama, Mystery, Sci-Fi",2004,tt0377713,5.6,43316,JP
,"Aliens vs. Predator: Requiem",Movie,"Action, Horror, Sci-Fi",2007,tt0758730,4.6,137717,US
,"A Beautiful Mind",Movie,"Biography, Drama, Mystery",2001,tt0268978,8.2,1002546,JP
,"Good Will Hunting",Movie,"Drama, Romance",1997,tt0119217,8.3,1098354,JP
,"The Seventh Seal",Movie,"Drama, Fantasy",1957,tt0050976,8.1,202516,JP
,"Reservoir Dogs",Movie,"Crime, Thriller",1992,tt0105236,8.3,1108789,JP
