url,title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
,"Before Sunset",Movie,"Drama, Romance",2004,tt0381681,8.1,294168,"AD, AR, BO, BR, BZ, CL, CO, CR, DO, EC, ES, GT, JM, LC, MX, PA, PE, PT, PY, SV, TC, UY, VE"
,"Nausicaä of the Valley of the Wind",Movie,"Adventure, Animation, Sci-Fi",1984,tt0087544,8,186496,"AG, BB, BS, HN, NI, TT, US"
,"Miami Vice",Movie,"Action, Crime, Drama",2006,tt0430357,6.1,125719,"AR, BO, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
,"Open Water",Movie,"Adventure, Drama, Horror",2003,tt0374102,5.8,57276,"HN, RS, US"
,"All About My Mother",Movie,"Comedy, Drama, Romance",1999,tt0185125,7.8,104604,"HN, US"
,"Taxi Driver",Movie,"Crime, Drama",1976,tt0075314,8.2,946635,"AR, BO, BR, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
,"Back to the Future",Movie,"Adventure, Comedy, Sci-Fi",1985,tt0088763,8.5,1338561,"BE, FR, MC"
,Snatch,Movie,"Comedy, Crime",2000,tt0208092,8.2,925730,"BA, BG, BZ, CZ, DO, EC, HR, HU, JM, LC, MD, ME, MK, PA, PL, PY, RO, SI, SK, TC, VE"
,"Three Colors: Blue",Movie,"Drama, Music, Mystery",1993,tt0108394,7.8,112574,"AG, BB, BS, DK, FI, HN, NI, NO, SE, TT, US"
,"Three Colors: White",Movie,"Comedy, Drama, Romance",1994,tt0111507,7.6,81151,"AG, BB, BS, DK, FI, HN, NI, NO, SE, TT, US"
,"Three Colors: Red",Movie,"Drama, Mystery, Romance",1994,tt0111495,8.1,111764,"AG, BB, BS, DK, FI, HN, NI, NO, SE, TT, US"
,"Pretty Woman",Movie,"Comedy, Romance",1990,tt0100405,7.1,373723,"DK, ES, FI, NO, SE, US"
,"Charlie and the Chocolate Factory",Movie,"Adventure, Comedy, Family",2005,tt0367594,6.7,539610,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, FR, GT, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PL, PT, PY, RO, SI, SK, SV, TC, TT, UY, VE"
,"The Lord of the Rings: The Fellowship of the Ring",Movie,"Action, Adventure, Drama",2001,tt0120737,8.9,2052548,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
,"The Lord of the Rings: The Two Towers",Movie,"Action, Adventure, Drama",2002,tt0167261,8.8,1823729,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
,"The Lord of the Rings: The Return of the King",Movie,"Action, Adventure, Drama",2003,tt0167260,9,2022805,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
,"Princess Mononoke",Movie,"Action, Adventure, Animation",1997,tt0119698,8.3,444902,"AG, BB, BS, HN, NI, RS, TT, US"
,"Spirited Away",Movie,"Adventure, Animation, Family",2001,tt0245429,8.6,875629,"AG, BB, BS, HN, NI, TT, US"
,"Gimme Shelter",Movie,"Documentary, Music, Thriller",1970,tt0065780,7.8,13093,"AG, BB, BS, HN, NI, TT, US"
,Primary,Movie,"Documentary, History, News",1960,tt0054205,7.1,1536,"AG, BB, BS, HN, NI, TT, US"
,"Bob Dylan: Dont Look Back",Movie,"Documentary, Music",1967,tt0061589,7.9,10154,"AG, BB, BS, HN, NI, TT, US"
,"Bad Education",Movie,"Crime, Drama",2004,tt0275491,7.4,64108,"AG, BB, BS, HN, NI, TT"
,"Brokeback Mountain",Movie,"Drama, Romance",2005,tt0388795,7.7,392138,"BA, BG, HN, HR, HU, MD, ME, SI, SK, US"
,"Wings of Desire",Movie,"Drama, Fantasy, Romance",1987,tt0093191,7.9,78966,"AG, BB, BS, HN, NI, TT, US"
,"Breaking the Waves",Movie,Drama,1996,tt0115751,7.8,72638,"AG, BB, BS, HN, NI, TT"
,"Crouching Tiger, Hidden Dragon",Movie,"Action, Adventure, Drama",2000,tt0190332,7.9,284520,"CZ, HN, RO, RS, US"
,"The 400 Blows",Movie,"Crime, Drama",1959,tt0053198,8.1,129678,"AG, BB, BS, DK, FI, HN, NI, NO, SE, TT, US"
,"Star Trek: The Motion Picture",Movie,"Adventure, Mystery, Sci-Fi",1979,tt0079945,6.4,98067,"AG, BB, BS, HN, NI, TT"
,"Lost in Translation",Movie,"Comedy, Drama",2003,tt0335266,7.7,501286,HN
,"Star Trek II: The Wrath of Khan",Movie,"Action, Adventure, Sci-Fi",1982,tt0084726,7.7,130909,"AG, BB, BS, HN, NI, TT"
,"The Dark Knight",Movie,"Action, Crime, Drama",2008,tt0468569,9,2936136,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, FR, GT, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
,"Star Trek III: The Search for Spock",Movie,"Action, Adventure, Sci-Fi",1984,tt0088170,6.6,87385,"AG, BB, BS, HN, NI, TT"
,"Ocean's Eleven",Movie,"Crime, Thriller",2001,tt0240772,7.7,631412,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, JM, LC, MC, MX, NI, NL, NO, PA, PE, PT, PY, SE, SV, TC, TT, UY, VE"
,"Edward Scissorhands",Movie,"Drama, Fantasy, Romance",1990,tt0099487,7.9,535377,"AG, BB, BS, NI, TT"
,"Ocean's Twelve",Movie,"Crime, Thriller",2004,tt0349903,6.5,419986,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, JM, LC, MC, MX, NI, NL, NO, PA, PE, PT, PY, SE, SV, TC, TT, UY, VE"
,"Back to the Future Part II",Movie,"Adventure, Comedy, Sci-Fi",1989,tt0096874,7.8,584808,"BE, FR, MC"
,"Star Trek IV: The Voyage Home",Movie,"Action, Adventure, Comedy",1986,tt0092007,7.3,92799,"AG, BB, BS, HN, NI, TT"
,"Star Trek V: The Final Frontier",Movie,"Action, Adventure, Fantasy",1989,tt0098382,5.5,65172,"AG, BB, BS, HN, NI, TT"
,"Star Trek VI: The Undiscovered Country",Movie,"Action, Adventure, Sci-Fi",1991,tt0102975,7.2,81991,"AG, BB, BS, HN, NI, TT"
,Saw,Movie,"Horror, Mystery, Thriller",2004,tt0387564,7.6,478232,US
,"Blown Away",Movie,"Action, Crime, Drama",1994,tt0109303,6.2,34377,"AG, BB, BS, HN, NI, TT, US"
,"The Interpreter",Movie,"Crime, Mystery, Thriller",2005,tt0373926,6.4,111757,FR
,"The Good German",Movie,"Drama, Mystery, Romance",2006,tt0452624,6,26256,"BZ, DO, EC, JM, LC, PA, PY, TC, VE"
,"A Clockwork Orange",Movie,"Crime, Sci-Fi",1971,tt0066921,8.2,894718,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
,"Sin City",Movie,"Crime, Thriller",2005,tt0401792,8,799928,FR
,"Star Trek: Generations",Movie,"Action, Adventure, Mystery",1994,tt0111280,6.6,88119,"AG, BB, BS, HN, NI, RS, TT"
,Amélie,Movie,"Comedy, Romance",2001,tt0211915,8.3,805190,US
,Braveheart,Movie,"Biography, Drama, War",1995,tt0112573,8.3,1107705,ES
,"To Be or Not to Be",Movie,"Comedy, Romance, War",1942,tt0035446,8.1,44529,"AG, BB, BS, HN, NI, TT, US"
,"Star Trek: First Contact",Movie,"Action, Adventure, Drama",1996,tt0117731,7.6,133531,"AG, BB, BS, HN, NI, RS, TT"
,"Star Trek: Insurrection",Movie,"Action, Adventure, Sci-Fi",1998,tt0120844,6.4,80399,"AG, BB, BS, HN, NI, TT"
,"Star Trek: Nemesis",Movie,"Action, Adventure, Sci-Fi",2002,tt0253754,6.4,84902,"AG, BB, BS, HN, NI, TT"
,"Mean Streets",Movie,"Crime, Drama, Thriller",1973,tt0070379,7.2,121718,"AR, BO, BR, CL, CO, CR, GT, MX, PE, SV, UY"
,"The Wages of Fear",Movie,"Adventure, Drama, Thriller",1953,tt0046268,8.1,68004,"AG, BB, BS, HN, NI, TT, US"
,"North by Northwest",Movie,"Action, Adventure, Mystery",1959,tt0053125,8.3,351712,"BE, BZ, DO, EC, FR, JM, LC, MC, PY, TC, VE"
,"Saw III",Movie,"Horror, Mystery, Thriller",2006,tt0489270,6.2,216843,US
,"Saw II",Movie,"Horror, Mystery",2005,tt0432348,6.6,282101,US
,"Ali: Fear Eats the Soul",Movie,"Drama, Romance",1974,tt0071141,8,24440,"AG, BB, BS, HN, NI, RS, TT, US"
,"East of Eden",Movie,Drama,1955,tt0048028,7.8,49496,"BE, FR, MC"
,"Rebel Without a Cause",Movie,Drama,1955,tt0048545,7.6,99294,"BE, BZ, DO, EC, FR, JM, LC, MC, PY, TC, VE"
,"Berlin: Symphony of Metropolis",Movie,Documentary,1927,tt0017668,7.6,4868,"AG, BB, BS, HN, NI, TT, US"
,"Bride of Frankenstein",Movie,"Drama, Horror, Sci-Fi",1935,tt0026138,7.8,54561,"AR, BO, CL, CO, CR, GT, MX, PE, SV, UY"
,Syriana,Movie,"Drama, Thriller",2005,tt0365737,6.9,135356,"AR, BO, BR, CL, CO, CR, GT, MX, PE, SV, UY"
,"The Godfather",Movie,"Crime, Drama",1972,tt0068646,9.2,2059785,ES
,"Some Like It Hot",Movie,"Comedy, Music, Romance",1959,tt0053291,8.2,287970,"AG, BB, BS, NI, TT"
,"The Godfather Part II",Movie,"Crime, Drama",1974,tt0071562,9,1391746,ES
,"Natural Born Killers",Movie,"Action, Crime, Romance",1994,tt0110632,7.2,255948,"AG, BS, TT"
,"The Godfather Part III",Movie,"Crime, Drama",1990,tt0099674,7.6,430917,ES
,"King Kong",Movie,"Adventure, Horror",1933,tt0024216,7.9,92406,"AG, BB, BS, BZ, DO, EC, HN, JM, LC, NI, PY, RS, TC, TT, VE"
,Ghost,Movie,"Drama, Fantasy, Romance",1990,tt0099653,7.1,241165,"AG, BB, BS, NI, TT"
,"Willy Wonka & the Chocolate Factory",Movie,"Adventure, Comedy, Family",1971,tt0067992,7.8,232075,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, GT, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
,"Live and Let Die",Movie,"Action, Adventure, Thriller",1973,tt0070328,6.7,117305,"AG, BB, BS, NI, TT"
,"The 39 Steps",Movie,"Crime, Mystery, Thriller",1935,tt0026029,7.6,62627,"AG, BB, BS, HN, NI, TT, US"
,Batman,Movie,"Action, Adventure",1989,tt0096895,7.5,412235,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, HN, JM, LC, MC, MX, NI, NL, PA, PE, PT, PY, RS, SV, TC, TT, US, UY, VE"
,Breathless,Movie,"Crime, Drama",1960,tt0053472,7.7,89464,"AG, BB, BS, HN, NI, TT, US"
,"Batman Begins",Movie,"Action, Crime, Drama",2005,tt0372784,8.2,1608837,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FR, GT, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
,"The Silence of the Lambs",Movie,"Crime, Drama, Thriller",1991,tt0102926,8.6,1585239,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, SI, SK"
,Fargo,Movie,"Crime, Thriller",1996,tt0116282,8.1,738382,"AG, BA, BB, BG, BS, CZ, HN, HR, HU, MD, ME, MK, NI, PL, RO, SI, SK, TT"
,Underworld,Movie,"Action, Fantasy, Thriller",2003,tt0320691,7,289303,"AR, BO, BR, CL, CO, CR, GT, MX, PE, SV, UY"
,"The Shawshank Redemption",Movie,Drama,1994,tt0111161,9.3,2954554,"AD, AR, BE, BO, BR, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, JM, LC, MC, MX, NO, PA, PE, PT, PY, SE, SV, TC, UY, VE"
,"Strange Days",Movie,"Crime, Drama, Sci-Fi",1995,tt0114558,7.2,79651,"AG, BB, BS, NI, TT"
,Casablanca,Movie,"Drama, Romance, War",1942,tt0034583,8.5,616116,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, RS, SV, TC, TT, US, UY, VE"
,"Desert Hearts",Movie,"Drama, Romance",1985,tt0089015,7.1,7598,"AG, BB, BS, HN, NI, RS, TT, US"
,"Meet Joe Black",Movie,"Drama, Fantasy, Romance",1998,tt0119643,7.2,271760,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, SI, SK"
,"Ocean's Thirteen",Movie,"Crime, Thriller",2007,tt0496806,6.9,372266,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, JM, LC, MC, MX, NI, NL, NO, PA, PE, PT, PY, SE, SV, TC, TT, UY, VE"
,"Ocean's Eleven",Movie,"Comedy, Crime, Music",1960,tt0054135,6.5,25695,"AG, BB, BS, NI, TT"
,"Rio Bravo",Movie,Western,1959,tt0053221,8,69424,"BE, FR, MC"
,"Rome, Open City",Movie,"Drama, Thriller, War",1945,tt0038890,8,29830,"AG, BB, BS, HN, NI, TT, US"
,"Broken Flowers",Movie,"Comedy, Drama, Mystery",2005,tt0412019,7.1,107628,PL
,"Bruce Almighty",Movie,"Comedy, Fantasy",2003,tt0315327,6.8,441889,"DK, FI, NO, SE"
,Catwoman,Movie,"Action, Crime, Fantasy",2004,tt0327554,3.4,127491,"AD, AG, BB, BE, BS, BZ, DO, EC, ES, FR, JM, LC, MC, NI, NL, PA, PT, PY, TC, TT, VE"
,"Mystic River",Movie,"Crime, Drama, Mystery",2003,tt0327056,7.9,493936,"AD, AR, BO, BR, BZ, CL, CO, CR, DO, EC, ES, GT, JM, LC, MX, PA, PE, PT, PY, SV, TC, UY, VE"
,"Snakes on a Plane",Movie,"Action, Adventure, Crime",2006,tt0417148,5.5,145970,"AR, BO, BR, CL, CO, CR, GT, MX, PE, SV, UY"
,"Jurassic Park",Movie,"Action, Adventure, Sci-Fi",1993,tt0107290,8.2,1090254,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, SI, SK"
,"The Lost World: Jurassic Park",Movie,"Action, Adventure, Sci-Fi",1997,tt0119567,6.6,450882,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, SI, SK"
,"Jurassic Park III",Movie,"Action, Adventure, Sci-Fi",2001,tt0163025,5.9,346057,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, SI, SK"
,Magnolia,Movie,Drama,1999,tt0175880,8,332934,"AR, BO, BR, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
,"Good Bye Lenin!",Movie,"Comedy, Drama, Romance",2003,tt0301357,7.7,154284,"AR, BO, BR, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
,"Night on Earth",Movie,"Comedy, Drama",1991,tt0102536,7.7,67294,"AG, BB, BS, HN, NI, TT, US"
,"Eyes Wide Shut",Movie,"Drama, Mystery, Thriller",1999,tt0120663,7.5,384688,"AD, AR, BE, BO, BR, BZ, CL, CO, CR, DO, EC, ES, FR, GT, JM, LC, MC, MX, PA, PE, PT, PY, SV, TC, UY, VE"
,"Seven Samurai",Movie,"Action, Drama",1954,tt0047478,8.6,373683,"AG, BB, BS, HN, NI, TT, US"
,"People on Sunday",Movie,"Comedy, Drama, Romance",1930,tt0020163,7.3,3618,"AG, BB, BS, HN, NI, TT, US"
,"The Devil Wears Prada",Movie,"Comedy, Drama",2006,tt0458352,6.9,483729,"AG, BB, BS, HN, NI, RS, TT, US"
